RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
63227467787;1;2;7;3;5;18
55774275097;0;4;7;4;2;17
76059134116;1;9;8;3;6;27
64295541703;2;2;6;4;6;20
71033266097;2;6;6;5;8;27
94355846566;3;3;6;4;3;19
80830562656;1;7;7;3;1;19
76852042511;3;6;4;4;2;19
91522109945;0;6;3;4;1;14
71863649027;0;2;8;5;0;15
82373740270;3;6;4;4;7;24
57200402542;1;6;6;5;4;22
60126099851;0;9;5;4;0;18
97496463855;3;8;4;4;4;23
68646765054;3;4;5;4;1;17
99843755621;0;8;2;5;2;17
72053544514;0;9;6;3;8;26
63210991357;3;10;4;3;4;24
68082779370;0;8;2;4;4;18
84414508263;0;2;6;3;8;19
88706391022;1;7;6;5;2;21
56156691826;2;9;8;4;2;25
84252161084;1;6;2;5;4;18
73823696006;0;4;2;5;0;11
59249490017;3;8;4;5;2;22
73891810505;1;3;3;5;5;17
61441849541;3;3;8;3;6;23
73782019520;2;5;8;5;7;27
97849217948;2;4;6;4;3;19
84177767225;1;7;7;4;7;26
98294834305;1;5;4;3;7;20
71047234172;3;10;3;3;2;21
82131935084;1;7;3;4;4;19
96097690587;2;3;6;4;4;19
73911690845;0;3;5;3;4;15
96446798045;2;4;2;3;3;14
94220360149;3;10;4;3;1;21
61668710511;3;2;4;5;2;16
90556999713;2;5;7;3;0;17
55798993528;3;6;6;5;7;27
98437267044;3;10;2;3;1;19
89793773870;1;4;6;4;1;16
82100280473;3;7;4;4;0;18
76505149113;0;9;4;4;3;20
79176696752;2;3;6;4;8;23
65353394077;0;6;8;3;8;25
77075884375;0;8;5;5;5;23
81226486449;1;7;4;3;6;21
58427716925;3;5;8;4;1;21
82852392557;2;6;7;5;8;28
78324728693;2;6;8;3;1;20
88082561631;0;5;7;4;5;21
82882234104;0;7;3;4;2;16
58806617325;1;2;7;5;4;19
78853954754;0;9;5;5;0;19
90612351728;1;8;4;5;2;20
61919608954;0;3;5;3;8;19
75846263960;3;6;7;5;4;25
73794741310;0;7;7;4;7;25
69608990923;3;10;8;5;8;34
77449838968;2;5;4;5;5;21
60372750744;2;5;8;3;5;23
99073972248;0;2;4;3;2;11
64281482473;1;2;2;5;6;16
72283032018;0;5;6;4;8;23
98610176591;0;3;8;4;4;19
82514349615;1;8;4;4;0;17
61001960241;1;9;5;5;8;28
58054694485;2;8;5;4;3;22
94936869901;2;5;7;4;5;23
72054138041;3;2;6;3;3;17
75310776795;0;8;8;3;5;24
97240471150;0;8;3;5;6;22
74294082143;0;2;7;5;4;18
68618995444;1;5;3;5;8;22
95468149924;0;5;7;4;5;21
67880375501;0;5;2;5;6;18
67771470327;3;4;3;3;3;16
59814649756;0;6;7;5;4;22
70143824644;2;7;8;5;2;24
96078264778;3;8;2;4;8;25
93436555629;3;9;6;4;7;29
80253593355;0;6;2;4;7;19
75646529999;3;9;2;4;0;18
85152587295;0;10;6;4;8;28
57719656378;1;2;5;4;2;14
58437716952;0;6;8;5;2;21
61835193405;0;2;7;5;3;17
64727719347;2;3;6;5;7;23
95730698265;3;4;3;4;6;20
74226841493;1;10;3;5;0;19
78891245316;3;2;6;4;8;23
86685864800;3;10;8;3;2;26
72184788680;1;9;6;4;1;21
62678402433;0;2;6;4;6;18
95028498771;1;6;3;4;7;21
77590052981;0;4;2;4;8;18
84097442344;2;6;4;4;0;16
87534302801;3;6;4;3;2;18
60915633675;0;6;3;4;0;13
77551235570;3;10;4;5;6;28
91291552109;0;8;5;3;6;22
91607324230;0;8;5;5;1;19
85579223715;1;4;6;4;7;22
89003896358;0;2;7;5;4;18
55896866724;2;10;4;3;6;25
87396313125;3;5;6;5;8;27
57585823373;1;7;5;4;0;17
66289571273;3;2;6;4;3;18
98990966649;1;9;6;5;8;29
65021803315;1;10;6;3;8;28
87802422775;1;7;5;4;8;25
81151693087;1;3;3;5;4;16
90937476478;0;4;7;3;5;19
92546748274;3;10;4;4;4;25
81850742708;0;9;3;3;8;23
95980765400;1;4;2;4;3;14
78549251895;1;6;3;3;3;16
77945547478;0;7;6;5;1;19
83011733706;1;10;6;4;5;26
83006306304;0;10;6;3;8;27
55680472790;2;8;7;4;0;21
75011208424;0;10;4;5;0;19
62953896046;3;4;7;4;8;26
80628296520;3;7;3;3;0;16
83926907902;0;5;5;3;3;16
76709212705;3;5;4;4;3;19
64092642989;0;3;6;4;5;18
56957808904;0;10;3;5;0;18
88649434046;0;10;8;4;1;23
79531250584;0;5;2;4;2;13
57525680626;0;9;7;5;8;29
91889704239;1;6;3;3;3;16
56935443946;2;6;3;3;5;19
66167313279;2;8;4;4;7;25
81361526204;2;8;2;5;4;21
87708947203;1;3;5;5;7;21
63907571633;0;10;7;3;5;25
81885346751;0;7;6;4;5;22
93306105792;3;7;8;5;0;23
97284346100;3;10;3;5;5;26
57249264851;0;8;4;5;7;24
79983949999;0;3;2;4;4;13
99277040765;2;8;6;5;5;26
94356056686;3;5;2;5;7;22
64497873431;0;2;4;4;7;17
78416394568;1;7;8;5;5;26
71966580485;1;8;8;3;3;23
92814941309;3;7;5;5;1;21
55616855724;3;5;4;5;4;21
90016805947;3;5;8;4;4;24
81946383101;2;5;6;5;2;20
99668234269;2;8;4;5;8;27
